id,fecha_operación,precio,recamaras,baños,m2_construcción,m2_terreno,pisos,frente_agua,vista,condición,calidad,m2_sobre_calle,m2_sotano,año_construcción,año_renovación,código_postal,latitud,longitud,m2_construcción_vecinal,m2_terreno_vecinal,agente_id
123059127,02/05/2014,625000,4,3.25,832.1,16463.5,1,0,0,3,9,1560,1170,2007,0,98059,47.5133,-122.11,2730,111274,9
472000620,02/05/2014,790000,3,2.5,792.5,1447.8,1,0,0,4,9,1700,900,1951,0,98117,47.6833,-122.4,2380,4750,8
587550340,02/05/2014,604000,3,2.5,987.6,10104.4,2,0,2,3,10,3240,0,1995,0,98023,47.3256,-122.378,4050,24967,7
776600130,02/05/2014,275000,3,1.5,359.7,3132.4,1,0,0,3,6,1180,0,1983,0,98045,47.488,-121.787,1680,11104,1
943100683,02/05/2014,335000,3,2.25,481.6,4942.3,1,0,0,4,7,1580,0,1978,0,98024,47.5643,-121.897,1450,16215,11
1024069009,02/05/2014,675000,5,2.5,859.5,20579.5,2,0,0,3,8,2820,0,1979,0,98029,47.5794,-122.025,2820,48351,7
1088800850,02/05/2014,612500,4,2.5,832.1,3737.2,2,0,0,3,9,2730,0,1991,0,98011,47.7419,-122.205,2730,10872,5
1245003160,02/05/2014,698000,4,2.25,670.6,3429,1.5,0,0,5,7,1300,900,1920,0,98033,47.6845,-122.201,2320,10814,2
1323089184,02/05/2014,452500,3,2.5,740.7,26952.2,1,0,0,4,7,1570,860,1985,0,98045,47.4828,-121.718,1560,56827,1
1525079056,02/05/2014,284000,3,1.75,548.6,7041.8,1,0,0,3,7,1800,0,1968,0,98014,47.6517,-121.906,1410,18163,11
1737320120,02/05/2014,470000,5,2.5,673.6,2942.8,1,0,0,3,8,1460,750,1976,0,98011,47.7698,-122.222,2080,8633,11
1771000430,02/05/2014,315000,3,1,353.6,2798.1,1,0,0,3,7,1160,0,1968,0,98077,47.7427,-122.072,1160,10282,10
1818800144,02/05/2014,750000,3,2.5,728.5,1996.4,1,0,2,4,8,1440,950,1955,0,98116,47.5714,-122.408,2010,6550,4
